ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
Barbarans,2020,2020,TVMA,280 mn,Acton, Adventure, Drama,"['Floran Schmdtke, ', 'Laurence Rupp, ', 'Jeanne Goursaud, ', 'Davd Schütter']","24,243","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",6.5
The Bold Type,2017,20172021,TV14,45 mn,Comedy, Drama,,"['Kate Stevens, ', 'Asha Dee, ', 'Meghann Fahy, ', 'Melora Hardn']","21,044","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",7.5
Atypcal,2017,20172021,TVMA,30 mn,Comedy, Drama,,"['Jennfer Jason Legh, ', 'Ker Glchrst, ', 'Brgette LundyPane, ', 'Mchael Rapaport']","87,238","For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a fulltime job.",7.6
Rosemary's Baby,1968,1968,Approved,137 mn,Drama, Horror,,"['Roman Polansk', '| ', '    Stars:', 'Ma Farrow, ', 'John Cassavetes, ', 'Ruth Gordon, ', 'Sdney Blackmer']","215,114","Features chefs from all over the world whose creativity elevates an ordinary dish like pizza, to an art form, with their unique flavors, inspiring backgrounds, and passion for creating the perfect slice.",7.4
3rd Rock from the Sun,1996,19962001,TVPG,60 mn,Comedy, Famly, ScF,"['John Lthgow, ', 'Jane Curtn, ', 'Krsten Johnston, ', 'French Stewart']","52,455","Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",8.2
Mars Attacks!,1996,1996,PG13,106 mn,Comedy, ScF,,"['Tm Burton', '| ', '    Stars:', 'Jack Ncholson, ', 'Perce Brosnan, ', 'Sarah Jessca Parker, ', 'Annette Benng']","227,173","Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",6.6
Kong: Skull sland,2017,2017,PG13,118 mn,Acton, Adventure, Fantasy,"['Jordan VogtRoberts', '| ', '    Stars:', 'Tom Hddleston, ', 'Samuel L. Jackson, ', 'Bre Larson, ', 'John C. Relly']","317,486","A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their BelAir mansion.",7.9
There's Somethng About Mary,1998,1998,R,119 mn,Comedy, Romance,,"['Bobby Farrelly, ', 'Peter Farrelly', '| ', '    Stars:', 'Cameron Daz, ', 'Matt Dllon, ', 'Ben Stller, ', 'Lee Evans']","311,136","Raquel's longtime crush on her nextdoor neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",5.4
Don't Breathe,2016,2016,R,88 mn,Crme, Horror, Thrller,"['Fede Alvarez', '| ', '    Stars:', 'Stephen Lang, ', 'Jane Levy, ', 'Dylan Mnnette, ', 'Danel Zovatto']","272,361","Two women troubled with guyproblems swap homes in each other's countries, where they each meet a local guy and fall in love.",6.9
Now You See Me,2013,2013,PG13,115 mn,Crme, Mystery, Thrller,"['Lous Leterrer', '| ', '    Stars:', 'Jesse Esenberg, ', 'Common, ', 'Mark Ruffalo, ', 'Woody Harrelson']","654,721","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",7.8
One Of Us s Lyng,2021,2021,TVMA,50 mn,Crme, Drama, Mystery,"['Melssa Collazo, ', 'Annalsa Cochrane, ', 'Chbukem Uche, ', 'Maranly Tejada']","8,906","A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That'.",4.4
Monty Python and the Holy Gral,1975,1975,PG,91 mn,Adventure, Comedy, Fantasy,"['Terry Gllam, ', 'Terry Jones', '| ', '    Stars:', 'Graham Chapman, ', 'John Cleese, ', 'Erc dle, ', 'Terry Gllam']","538,546","A halfhour comedy following the dysfunctional Superwog family. While their parents deal with a marital breakdown, Superwog and best friend Johnny must learn to deal with adulthood and independent life.",7.4
Batman v Superman: Dawn of Justce,2016,2016,PG13,152 mn,Acton, Adventure, ScF,"['Zack Snyder', '| ', '    Stars:', 'Ben Affleck, ', 'Henry Cavll, ', 'Amy Adams, ', 'Jesse Esenberg']","694,619","A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",7.6
Clmax,2018,2018,R,97 mn,Drama, Horror, Musc,"['Gaspar Noé', '| ', '    Stars:', 'Sofa Boutella, ', 'Roman Gullermc, ', 'Souhela Yacoub, ', 'Kddy Smle']","67,926","Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",6.1
Lupn,2021,2021,TVMA,45 mn,Acton, Crme, Drama,"['Omar Sy, ', 'Ludvne Sagner, ', 'Hervé Perre, ', 'Soufane Guerrab']","105,218","Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",6.2
Entergalactc,2022,2022,,,Anmaton, Comedy, Musc,"['Tmothée Chalamet, ', 'Vanessa Hudgens, ', 'Keth Davd, ', 'Macaulay Culkn']",,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,7.3
The Old Guard,2020,2020,R,125 mn,Acton, Thrller,,"['Gna PrnceBythewood', '| ', '    Stars:', 'Charlze Theron, ', 'KK Layne, ', 'Matthas Schoenaerts, ', 'Marwan Kenzar']","162,921",Tony and Emily Hughes' vacation turns into a nightmare when their 5yearold son Oliver disappears from a large celebrating crowd in Northern France.,8.2
The Serpent,2021,2021,TVMA,458 mn,Crme, Drama, Thrller,"['Tahar Rahm, ', 'Blly Howle, ', 'Jenna Coleman, ', 'Elle Bamber']","43,200",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computergenerated analysis to acquire new players.,7.6
"tck, tck... BOOM!",2021,2021,PG13,120 mn,Bography, Drama, Muscal,"['LnManuel Mranda', '| ', '    Stars:', 'Andrew Garfeld, ', 'Alexandra Shpp, ', 'Robn de Jesus, ', 'Vanessa Hudgens']","103,537","Woodstock 1969 promised peace and music, but its '99 revival delivered days of rage, riots and real harm. Why did it go so horribly wrong?",7.4
The Pale Blue Eye,2022,2022,R,,Crme, Horror, Mystery,"['Scott Cooper', '| ', '    Stars:', 'Chrstan Bale, ', 'Gllan Anderson, ', 'Lucy Boynton, ', 'Robert Duvall']",,"The lives of a photojournalist, a soccer mom and a homicide detective are disturbed by a terrible event from the past.",6.9
Alce n Borderland,2020,2020,TVMA,50 mn,Acton, Drama, Mystery,"['Kento Yamazak, ', 'Tao Tsuchya, ', 'Njrô Murakam, ', 'Takanobu Shohara']","50,974",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,7.1
Glmore Grls: A Year n the Lfe,2016,2016,TV14,370 mn,Comedy, Drama,,"['Lauren Graham, ', 'Alexs Bledel, ', 'Scott Patterson, ', 'Kelly Bshop']","38,451","The hosts talk about everything carrelated. From new cars to how they're fueled, this show has it all.",8.7
Carter,2022,2022,TVMA,132 mn,Acton, Thrller,,"['Byunggl Jung', '| ', '    Stars:', 'Joo Won, ', 'Km BoMn, ', 'SungJae Lee, ', 'ftekhar Mahmud']","7,595","A lost toy, searching across the countryside for the boy who lost him, and the story of the boy who lost more than a best friend.",7.8
The Babystter,2017,2017,TVMA,85 mn,Comedy, Horror,,"['McG', '| ', '    Stars:', 'Judah Lews, ', 'Samara Weavng, ', 'Robbe Amell, ', 'Hana Mae Lee']","92,479",A married man's onenight stand comes back to haunt him when that lover begins to stalk him and his family.,6.9
Outlaw Kng,2018,2018,R,121 mn,Acton, Bography, Drama,"['Davd Mackenze', '| ', '    Stars:', 'Chrs Pne, ', 'Stephen Dllane, ', 'Rebecca Robn, ', 'Blly Howle']","71,960","From Notre Dame to the NFL, Manti Te'o's future in football showed promise until a secret online relationship sent his life and career spiraling.",7.2
Despcable Me 2,2013,2013,PG,98 mn,Anmaton, Adventure, Comedy,"['Perre Coffn, ', 'Chrs Renaud', '| ', '    Stars:', 'Steve Carell, ', 'Krsten Wg, ', 'Benjamn Bratt, ', 'Mranda Cosgrove']","399,084",A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.,7.3
Good Wtch,2015,20152021,TVPG,48 mn,Comedy, Drama, Fantasy,"['Catherne Bell, ', 'Catherne Dsher, ', 'James Denton, ', 'Kylee Evans']","10,753","A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",6.5
Extracton,2020,2020,R,116 mn,Acton, Thrller,,"['Sam Hargrave', '| ', '    Stars:', 'Chrs Hemsworth, ', 'Bryon Lerum, ', 'Ryder Lerum, ', 'Rudhraksh Jaswal']","200,239","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",8
Cleveland Abducton,2015,2015,TV14,88 mn,Bography, Crme, Drama,"['Alex Kalymnos', '| ', '    Stars:', 'Taryn Mannng, ', 'Raymond Cruz, ', 'Kate Sarfe, ', 'Samantha Droke']","7,425","Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",6.1
Army of Theves,2021,2021,TVMA,127 mn,Acton, Comedy, Crme,"['Matthas Schweghöfer', '| ', '    Stars:', 'Matthas Schweghöfer, ', 'Nathale Emmanuel, ', 'Ruby O. Fee, ', 'Stuart Martn']","75,902",An unlikely Canadian journalist finds himself embroiled in a mission to uncover the truth and just possibly save the world himself.,6.1
Sellng the OC,2022,2022,TVMA,30 mn,RealtyTV,,,"['Alexandra Jarvs, ', 'Tyler Stanaland, ', 'Alexandra Rose, ', 'Polly Brndle']",767,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,5.2
Dawson's Creek,1998,19982003,TV14,60 mn,Drama, Romance,,"['James Van Der Beek, ', 'Kate Holmes, ', 'Mchelle Wllams, ', 'Joshua Jackson']","41,567","Twelveyearold orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny: to become the hero who will be forever known as Peter Pan.",5.7
12 Strong,2018,2018,R,130 mn,Acton, Drama, Hstory,"['Ncola Fuglsg', '| ', '    Stars:', 'Chrs Hemsworth, ', 'Mchael Shannon, ', 'Mchael Peña, ', 'Navd Negahban']","81,719","A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.",7.8
Lone Survvor,2013,2013,R,121 mn,Acton, Bography, Drama,"['Peter Berg', '| ', '    Stars:', 'Mark Wahlberg, ', 'Taylor Ktsch, ', 'Emle Hrsch, ', 'Ben Foster']","287,213","Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service.",7.3
nto the Nght,2020,2020,TVMA,35 mn,Drama, ScF, Thrller,"['Paulne Etenne, ', 'Laurent Capelluto, ', 'Mehmet Kurtulus, ', 'Babetda Sadjo']","32,118","Now a detectiveforhire, Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends  and Sherlock himself  to unravel",
nsde Job,2021,2021,TVMA,30 mn,Anmaton, Comedy, Fantasy,"['Lzzy Caplan, ', 'Chrstan Slater, ', 'Clark Duke, ', 'Tsha Campbell']","17,662","Elizabeth Thatcher, a young school teacher from a wealthy Eastern family, migrates from the big city to teach school in a small coal mining town in the west.",7.9
Chef's Table: Pzza,2022,2022,TVMA,45 mn,Documentary,,,"['Chrs Banco, ', 'Gabrele Bonc, ', 'Leo Banco, ', 'Ma Banco']",289,The people tasked with creating a sixth branch of the armed services: The Space Force.,6.7
Major,2022,2022,,150 mn,Acton, Bography, Drama,"['Sash Kran Tkka', '| ', '    Stars:', 'Adv Sesh, ', 'Prakash Raj, ', 'Revath, ', 'Saee Manjrekar']","25,431","Series of adventures, war, and evil that occur throughout the history of the Four Lands.",7.1
Brd Box,2018,2018,R,124 mn,Horror, Mystery, ScF,"['Susanne Ber', '| ', '    Stars:', 'Sandra Bullock, ', 'Trevante Rhodes, ', 'John Malkovch, ', 'Sarah Paulson']","336,633","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",7.7
The Fresh Prnce of BelAr,1990,19901996,TVPG,22 mn,Comedy,,,"['Wll Smth, ', 'James Avery, ', 'Alfonso Rbero, ', 'Tatyana Al']","134,185","Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.",6.8
Through My Wndow,2022,2022,TVMA,116 mn,Comedy, Drama, Romance,"['Marçal Forés', '| ', '    Stars:', 'Clara Galle, ', 'Julo Peña, ', 'Gullermo Lasheras, ', 'Natala Azahara']","10,198","Three highschool seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",6.6
The Holday,2006,2006,PG13,136 mn,Comedy, Romance,,"['Nancy Meyers', '| ', '    Stars:', 'Kate Wnslet, ', 'Cameron Daz, ', 'Jude Law, ', 'Jack Black']","284,199",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,6.7
Moonrse Kngdom,2012,2012,PG13,94 mn,Comedy, Drama, Romance,"['Wes Anderson', '| ', '    Stars:', 'Jared Glman, ', 'Kara Hayward, ', 'Bruce Wlls, ', 'Bll Murray']","348,507",Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.,7.7
He's All That,2021,2021,TV14,88 mn,Comedy, Romance,,"['Mark Waters', '| ', '    Stars:', 'Addson Rae, ', 'Tanner Buchanan, ', 'Madson Petts, ', 'Rachael Legh Cook']","24,843","Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures.",7.5
Superwog,2017,2017,TVMA,30 mn,Comedy,,,"['Theodore Sadden, ', 'Nathan Sadden, ', 'Joseph Green, ', 'Damond Lust']",986,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,8.6
Breakfast at Tffany's,1961,1961,Approved,115 mn,Comedy, Drama, Romance,"['Blake Edwards', '| ', '    Stars:', 'Audrey Hepburn, ', 'George Peppard, ', 'Patrca Neal, ', 'Buddy Ebsen']","180,040","For funloving party animal Ben Stone, the last thing he ever expected was for his onenight stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",6.9
The Grl n the Spder's Web,2018,2018,R,115 mn,Acton, Crme, Drama,"['Fede Alvarez', '| ', '    Stars:', 'Clare Foy, ', 'Beau Gadsdon, ', 'Sverrr Gudnason, ', 'LaKeth Stanfeld']","47,930","In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing  or desperately wanting  to leave.",7.9
The Karate Kd,2010,2010,PG,140 mn,Acton, Drama, Famly,"['Harald Zwart', '| ', '    Stars:', 'Jacke Chan, ', 'Jaden Smth, ', 'Taraj P. Henson, ', 'Wenwen Han']","183,166","Two unlikely friends, the loud and fearless Bean, and the thoughtful and quiet Ivy. Yet the two discover that an adventure can reveal that even seemingly different people can become the best of friends.",5.9
Shot Caller,2017,2017,R,121 mn,Crme, Drama, Thrller,"['Rc Roman Waugh', '| ', '    Stars:', 'Nkolaj CosterWaldau, ', 'Omar Hardwck, ', 'Lake Bell, ', 'Jon Bernthal']","86,482",A warhardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,5.3
The Mssng,2014,20142016,TV14,60 mn,Crme, Drama, Mystery,"['Tchéky Karyo, ', 'Anastasa Hlle, ', 'James Nesbtt, ', ""Frances O'Connor""]","26,870","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",8.3
Moneyball,2011,2011,PG13,133 mn,Bography, Drama, Sport,"['Bennett Mller', '| ', '    Stars:', 'Brad Ptt, ', 'Robn Wrght, ', 'Jonah Hll, ', 'Phlp Seymour Hoffman']","420,330","A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a lastminute getaway.",5.7
Clusterf**k: Woodstock '99,2022,2022,TVMA,142 mn,Documentary, Hstory, Musc,"['Ananda Lews, ', 'Heather, ', 'Coln Sper, ', 'John Scher']","13,986","The Civil War is past, but former Confederate soldier Cullen Bohannon can't put it behind him. Fresh are the memories of the death of his wife, killed at the hands of the Union soldiers, an act that sets him on a course of revenge.",8.3
Stay Close,2021,2021,TVMA,375 mn,Crme, Drama, Mystery,"['Cush Jumbo, ', 'Rchard Armtage, ', 'Danel Francs, ', 'Jo Joyner']","31,279","Looking for a parttime job, 13yearold Henry Hart lands the post of sidekick of superhero Captain Man, but he must keep this a secret from his family and friends.",5.6
Furous 7,2015,2015,PG13,137 mn,Acton, Crme, Thrller,"['James Wan', '| ', '    Stars:', 'Vn Desel, ', 'Paul Walker, ', 'Dwayne Johnson, ', 'Jason Statham']","388,751","Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.",7.2
,,,,,,,,,,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",8.4
Top Gear,2002,2002,TVPG,60 mn,Adventure, Comedy, RealtyTV,"['Jeremy Clarkson, ', 'Rchard Hammond, ', 'James May, ', 'The Stg']","118,264",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,8.4
Lou,2022,2022,R,107 mn,Acton, Crme, Drama,"['Anna Foerster', '| ', '    Stars:', 'Allson Janney, ', 'Jurnee Smollett, ', 'Logan MarshallGreen, ', 'Rdley Asha Bateman']",880,"Two people live in different times. SeoYeon lives in the present and YoungSook lives in the past. One phone call connects the two, and their lives are changed irrevocably.",7.1
Lost Olle,2022,2022,TVPG,45 mn,Anmaton, Adventure, Drama,"['Jake Johnson, ', 'Gna Rodrguez, ', 'Kesler Talbot, ', 'Jonathan Groff']","1,071",An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,6.7
Fatal Attracton,1987,1987,R,119 mn,Drama, Thrller,,"['Adran Lyne', '| ', '    Stars:', 'Mchael Douglas, ', 'Glenn Close, ', 'Anne Archer, ', 'Ellen Latzen']","86,764","Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.",6.7
Untold: The Grlfrend Who Ddn't Exst,2022,2022,TVMA,124 mn,Documentary, Bography, Sport,"['Ryan Duffy, ', 'Tony Vanuku', '| ', '    Stars:', ""Mant Te'o, "", 'Phl McGraw, ', 'Ansa Woo']","4,962","A young heroine, Miu who travels through Copenhagen's criminal netherworld.",8.5
The Lncoln Lawyer,2011,2011,R,118 mn,Crme, Drama, Mystery,"['Brad Furman', '| ', '    Stars:', 'Matthew McConaughey, ', 'Marsa Tome, ', 'Ryan Phllppe, ', 'Wllam H. Macy']","238,378","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",6.6
Mghty Morphn Power Rangers,1993,19931996,TVY7,30 mn,Acton, Adventure, Famly,"['Rchard Steven Horvtz, ', 'Davd Yost, ', 'Ed Nel, ', 'Davd J. Feldng']","22,310","When a suspect is found in a journalist's murder, the case is considered closed until a secret diary suggests 13 more victims and possible cannibalism.",6.7
Lfe of Bran,1979,1979,R,94 mn,Comedy,,,"['Terry Jones', '| ', '    Stars:', 'Graham Chapman, ', 'John Cleese, ', 'Mchael Paln, ', 'Terry Gllam']","397,955",Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,8.9
Love s Blnd,2020,2020,TVMA,48 mn,GameShow, RealtyTV, Romance,"['Nck Lachey, ', 'Vanessa Lachey, ', 'Danelle Ruhl, ', 'Deept Vempat']","8,099","The drug war on the U.S.Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver reteams with the mercurial Alejandro.",7.1
The Pentaverate,2022,2022,TVMA,160 mn,Comedy,,,"['Mke Myers, ', 'Lyda West, ', 'Jeremy rons, ', 'Mara Menounos']","9,498",A reality series that follows some of the most affluent women in the country as they enjoy the lavish lifestyle that only Beverly Hills can provide.,5.2
Doom,2005,2005,R,105 mn,Acton, Horror, ScF,"['Andrzej Bartkowak', '| ', '    Stars:', 'Karl Urban, ', 'Rosamund Pke, ', 'Dwayne Johnson, ', 'Deoba Opare']","113,934","Emperor Kuzco is turned into a llama by his exadministrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",7.4
Pan,2015,2015,PG,111 mn,Acton, Adventure, Comedy,"['Joe Wrght', '| ', '    Stars:', 'Lev Mller, ', 'Hugh Jackman, ', 'Garrett Hedlund, ', 'Rooney Mara']","64,414","One of the world's top bodyguards gets a new client, a world class hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial alive and on time.",6.9
Crazy ExGrlfrend,2015,20152019,TV14,42 mn,Comedy, Muscal,,"['Rachel Bloom, ', 'Donna Lynne Champln, ', 'Vncent Rodrguez , ', 'Pete Gardner']","20,397","After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them",5.9
A Walk to Remember,2002,2002,PG,101 mn,Drama, Romance,,"['Adam Shankman', '| ', '    Stars:', 'Mandy Moore, ', 'Shane West, ', 'Peter Coyote, ', 'Daryl Hannah']","211,211",The life of a twelveyearold boy who happens to be a blue cat as he lives with his family and other strange creatures.,8.3
Enola Holmes 2,2022,2022,PG13,,Acton, Adventure, Crme,"['Harry Bradbeer', '| ', '    Stars:', 'Mlle Bobby Brown, ', 'Henry Cavll, ', 'Helena Bonham Carter, ', 'Davd Thewls']",,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",5.3
When Calls the Heart,2014,2014,TVG,43 mn,Drama, Hstory, Romance,"['Ern Krakow, ', 'Martn Cummns, ', 'Pascale Hutton, ', 'Jack Wagner']","13,133",Two friends try to form a heavy metal band with a cellist for a Battle of the Bands.,6.7
Space Force,2020,20202022,TVMA,30 mn,Comedy,,,"['Steve Carell, ', 'John Malkovch, ', 'Ben Schwartz, ', 'Dana Slvers']","64,540",Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,6.9
The Shannara Chroncles,2016,20162017,TV14,42 mn,Adventure, Drama, Fantasy,"['Austn Butler, ', 'vana Baquero, ', 'Manu Bennett, ', 'Aaron Jakubenko']","60,428","A team of intergalactic warriors fights to protect the Earth, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.",8.2
Lucy,2014,2014,R,89 mn,Acton, ScF, Thrller,"['Luc Besson', '| ', '    Stars:', 'Scarlett Johansson, ', 'Morgan Freeman, ', 'Cho Mnsk, ', 'Amr Waked']","493,047",Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,6.7
Mdnght n Pars,2011,2011,PG13,94 mn,Comedy, Fantasy, Romance,"['Woody Allen', '| ', '    Stars:', 'Owen Wlson, ', 'Rachel McAdams, ', 'Kathy Bates, ', 'Kurt Fuller']","422,213","A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.",6.7
Contagon,2011,2011,PG13,106 mn,Drama, Thrller,,"['Steven Soderbergh', '| ', '    Stars:', 'Matt Damon, ', 'Kate Wnslet, ', 'Jude Law, ', 'Gwyneth Paltrow']","303,276",A boy who is half human and half deer survives in a postapocalyptic world with other hybrids.,7.8
Project X,2012,2012,R,88 mn,Comedy,,,"['Nma Nourzadeh', '| ', '    Stars:', 'Thomas Mann, ', 'Olver Cooper, ', 'Jonathan Danel Brown, ', 'Dax Flame']","210,083",A mighty warrior and a young boy with supernatural powers search for enlightenment in a ruthless postapocalyptic America controlled by feudal barons.,7.9
Cars 3,2017,2017,G,102 mn,Anmaton, Adventure, Comedy,"['Bran Fee', '| ', '    Stars:', 'Owen Wlson, ', 'Crstela Alonzo, ', 'Chrs Cooper, ', 'Nathan Fllon']","99,256","In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",8.5
The Alenst,2018,20182020,TVMA,60 mn,Crme, Drama, Mystery,"['Danel Brühl, ', 'Dakota Fannng, ', 'Luke Evans, ', 'Robert Wsdom']","54,039","In contemporary Los Angeles, two millennials navigating a social mediadriven hookup culture begin a relationship that pushes both emotional and physical boundaries.",6.3
Pokémon,1997,1997,TVY7,24 mn,Anmaton, Acton, Adventure,"['Veronca Taylor, ', 'Rachael Llls, ', 'Erc Stuart, ', 'kue Ôtan']","42,922","Sheila and Joel are married real estate agents who live and work in Santa Clarita, California. When Sheila dies, their lives take a dark turn.",7.8
Wentworth,2013,20132021,TVMA,45 mn,Crme, Drama, Thrller,"['Kate Atknson, ', 'Katrna Mlosevc, ', 'Robbe Magasva, ', 'Jacquelne Brennan']","22,295","A man finds himself at war with a bee while housesitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?",6.7
Knocked Up,2007,2007,R,129 mn,Comedy, Romance,,"['Judd Apatow', '| ', '    Stars:', 'Seth Rogen, ', 'Katherne Hegl, ', 'Paul Rudd, ', 'Lesle Mann']","369,484","An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.",5.3
 Thnk You Should Leave wth Tm Robnson,2019,2019,TVMA,16 mn,Comedy,,,"['Tm Robnson, ', 'Sam Rchardson, ', 'Patt Harrson, ', ""Conner O'Malley""]","12,743","This anthology of sinister stories is told by some of today's most revered horror creators, including the directors of The Babadook, Splice, Mandy, and many more.",
vy & Bean,2022,2022,TVG,56 mn,Acton, Comedy, Famly,"['Elssa Down', '| ', '    Stars:', 'Madson Skye Valdum, ', 'Hudson Hua, ', 'Parker Hua, ', 'Keslee Blalock']",176,An unlikely trio travel through time in order to battle unknown criminals and protect history as we know it.,7.6
,,,,,,,,,,"A young mother's mysterious death and her son's subsequent kidnapping blow open a decadeslong mystery about the woman's true identity, and the murderous federal fugitive at the center of it all.",7.2
Robn Hood,2018,2018,PG13,116 mn,Acton, Adventure, Drama,"['Otto Bathurst', '| ', '    Stars:', 'Taron Egerton, ', 'Jame Foxx, ', 'Ben Mendelsohn, ', 'Eve Hewson']","73,741",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,8.5
Return to Sender,2015,2015,Not Rated,92 mn,Drama, Thrller,,"['Fouad Mkat', '| ', '    Stars:', 'Rosamund Pke, ', 'Shloh Fernandez, ', 'Nck Nolte, ', 'Camryn Manhem']","13,648","In a future where the polar icecaps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",6.2
Kngdom,2019,2019,TVMA,45 mn,Acton, Drama, Horror,"['Ju JHoon, ', 'Bae Doona, ', 'Km Sungkyu, ', 'Km Hyejun']","45,888",Follow the misadventures of the impulsive Cuphead and his cautious but persuadable brother Mugman in this animated series based on the hit video game.,7.4
Wndfall,2022,2022,R,92 mn,Crme, Drama, Thrller,"['Charle McDowell', '| ', '    Stars:', 'Jason Segel, ', 'Lly Collns, ', 'Jesse Plemons, ', 'Omar Leyva']","22,612",It follows a harddriving LA winecompany executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.,6.1
